Date (CEST),HOB_Fuel_Input_A1[Dim 1][MW],HOB_Output_Backup[Dim 1][MW],HP_Electricity_Consumption_A1[Dim 1][MW],HP_Load_Output_A1[Dim 1][MW],Thermal_Output_A1[Dim 1][MW],Waste_BP_Load_A1[Dim 1][MW],Waste_CHP_Electricity_Output_A1[Dim 1][MW],Waste_CHP_Load_Output_A1[Dim 1][MW],Waste_Fuel_Input_A1[Dim 1][MW],Waste_Turbine_Load_A1[Dim 1][MW],Wood_BP_Load_A1[Dim 1][MW],Wood_CHP_Electricity_Output_A1[Dim 1][MW],Wood_CHP_Load_Output_A1[Dim 1][MW],Wood_Fuel_Input_A1[Dim 1][MW],Wood_Turbine_Load_A1[Dim 1][MW],HOB_Fuel_Input_A2[Dim 1][MW],HOB_Load_Output_A2[Dim 1][MW],HP_Electricity_Consumption_A2[Dim 1][MW],HP_Load_Output_A2[Dim 1][MW],Pellet_BP_Load_A2[Dim 1][MW],Pellet_CHP_Electricity_Output_A2[Dim 1][MW],Pellet_CHP_Load_Output_A2[Dim 1][MW],Pellet_Fuel_Input_A2[Dim 1][MW],Pellet_Turbine_Load_A2[Dim 1][MW],Thermal_Output_A2[Dim 1][MW],Area_Exchange[Dim 1][MW]

01-01-2017 00:00:00,0.00,0.00,0.00,0.00,461.88,0.00,160.00,400.00,815.70,400.00,0.00,24.75,61.88,126.17,61.88,0.00,0.00,5.71,20.00,22.42,0.00,22.42,31.15,0.00,42.42,40.00
01-01-2017 01:00:00,0.00,0.00,0.00,0.00,477.50,0.00,160.00,400.00,815.70,400.00,0.00,31.00,77.50,158.03,77.50,0.00,0.00,5.71,20.00,22.42,0.00,22.42,31.15,0.00,42.42,40.00
01-01-2017 02:00:00,0.00,0.00,0.00,0.00,464.48,0.00,160.00,400.00,815.70,400.00,0.00,25.79,64.48,131.48,64.48,0.00,0.00,5.71,20.00,22.04,0.00,22.04,30.61,0.00,42.04,40.00
01-01-2017 03:00:00,0.00,0.00,0.00,0.00,422.81,0.00,160.00,400.00,815.70,400.00,0.00,9.13,22.81,46.52,22.81,0.00,0.00,5.71,20.00,19.33,0.00,19.33,26.85,0.00,39.33,40.00
01-01-2017 04:00:00,0.00,0.00,0.00,0.00,428.02,0.00,160.00,400.00,815.70,400.00,0.00,11.21,28.02,57.14,28.02,0.00,0.00,5.71,20.00,14.68,0.00,14.68,20.40,0.00,34.68,40.00
01-01-2017 05:00:00,0.00,0.00,0.00,0.00,430.63,0.00,160.00,400.00,815.70,400.00,0.00,12.25,30.63,62.45,30.63,0.00,0.00,5.71,20.00,12.75,0.00,12.75,17.71,0.00,32.75,40.00
01-01-2017 06:00:00,0.00,0.00,0.00,0.00,430.63,0.00,160.00,400.00,815.70,400.00,0.00,12.25,30.63,62.45,30.63,0.00,0.00,5.71,20.00,12.36,0.00,12.36,17.17,0.00,32.36,40.00
01-01-2017 07:00:00,0.00,0.00,0.00,0.00,433.23,0.00,160.00,400.00,815.70,400.00,0.00,13.29,33.23,67.76,33.23,0.00,0.00,5.71,20.00,13.91,0.00,13.91,19.32,0.00,33.91,40.00
01-01-2017 08:00:00,0.00,0.00,0.00,0.00,443.65,0.00,160.00,400.00,815.70,400.00,0.00,17.46,43.65,89.00,43.65,0.00,0.00,5.71,20.00,15.07,0.00,15.07,20.94,0.00,35.07,40.00
