Date (CEST),HOB_Fuel_Input_A1[Dim 1][MW],HOB_Output_Backup[Dim 1][MW],HP_Electricity_Consumption_A1[Dim 1][MW],HP_Load_Output_A1[Dim 1][MW],Thermal_Output_A1[Dim 1][MW],Waste_BP_Load_A1[Dim 1][MW],Waste_CHP_Electricity_Output_A1[Dim 1][MW],Waste_CHP_Load_Output_A1[Dim 1][MW],Waste_Fuel_Input_A1[Dim 1][MW],Waste_Turbine_Load_A1[Dim 1][MW],Wood_BP_Load_A1[Dim 1][MW],Wood_CHP_Electricity_Output_A1[Dim 1][MW],Wood_CHP_Load_Output_A1[Dim 1][MW],Wood_Fuel_Input_A1[Dim 1][MW],Wood_Turbine_Load_A1[Dim 1][MW],HOB_Fuel_Input_A2[Dim 1][MW],HOB_Load_Output_A2[Dim 1][MW],HP_Electricity_Consumption_A2[Dim 1][MW],HP_Load_Output_A2[Dim 1][MW],Pellet_BP_Load_A2[Dim 1][MW],Pellet_CHP_Electricity_Output_A2[Dim 1][MW],Pellet_CHP_Load_Output_A2[Dim 1][MW],Pellet_Fuel_Input_A2[Dim 1][MW],Pellet_Turbine_Load_A2[Dim 1][MW],Thermal_Output_A2[Dim 1][MW],HOB_Fuel_Input_A3[Dim 1][MW],HOB_Load_Output_A3[Dim 1][MW],Area_Exchange[Dim 1][MW],Area_Exchange_1_3[Dim 1][MW],Area_Exchange_2_3[Dim 1][MW]

01-01-2017 00:00:00,0.00,0.00,0.00,0.00,483.94,0.00,160.00,400.00,815.70,400.00,0.00,33.58,83.94,171.16,83.94,0.00,0.00,5.71,20.00,22.42,0.00,22.42,31.15,0.00,42.42,0.00,0.00,40.00,22.06,0.00
01-01-2017 01:00:00,0.00,0.00,0.00,0.00,499.56,0.00,160.00,400.00,815.70,400.00,0.00,39.83,99.56,203.02,99.56,0.00,0.00,5.71,20.00,22.42,0.00,22.42,31.15,0.00,42.42,0.00,0.00,40.00,22.06,0.00
01-01-2017 02:00:00,0.00,0.00,0.00,0.00,482.13,0.00,160.00,400.00,815.70,400.00,0.00,32.85,82.13,167.47,82.13,0.00,0.00,5.71,20.00,22.04,0.00,22.04,30.61,0.00,42.04,0.00,0.00,40.00,17.65,0.00
01-01-2017 03:00:00,0.00,0.00,0.00,0.00,440.46,0.00,160.00,400.00,815.70,400.00,0.00,16.19,40.46,82.51,40.46,0.00,0.00,5.71,20.00,19.33,0.00,19.33,26.85,0.00,39.33,0.00,0.00,40.00,17.65,0.00
01-01-2017 04:00:00,0.00,0.00,0.00,0.00,445.67,0.00,160.00,400.00,815.70,400.00,0.00,18.27,45.67,93.13,45.67,0.00,0.00,5.71,20.00,14.68,0.00,14.68,20.40,0.00,34.68,0.00,0.00,40.00,17.65,0.00
01-01-2017 05:00:00,0.00,0.00,0.00,0.00,443.86,0.00,160.00,400.00,815.70,400.00,0.00,17.55,43.86,89.44,43.86,0.00,0.00,5.71,20.00,12.75,0.00,12.75,17.71,0.00,32.75,0.00,0.00,40.00,13.24,0.00
01-01-2017 06:00:00,0.00,0.00,0.00,0.00,448.28,0.00,160.00,400.00,815.70,400.00,0.00,19.31,48.28,98.44,48.28,0.00,0.00,5.71,20.00,12.36,0.00,12.36,17.17,0.00,32.36,0.00,0.00,40.00,17.65,0.00
01-01-2017 07:00:00,0.00,0.00,0.00,0.00,455.29,0.00,160.00,400.00,815.70,400.00,0.00,22.12,55.29,112.74,55.29,0.00,0.00,5.71,20.00,13.91,0.00,13.91,19.32,0.00,33.91,0.00,0.00,40.00,22.06,0.00
01-01-2017 08:00:00,0.00,0.00,0.00,0.00,470.12,0.00,160.00,400.00,815.70,400.00,0.00,28.05,70.12,142.98,70.12,0.00,0.00,5.71,20.00,15.07,0.00,15.07,20.94,0.00,35.07,0.00,0.00,40.00,26.48,0.00
01-01-2017 09:00:00,0.00,0.00,0.00,0.00,479.74,0.00,160.00,400.00,815.70,400.00,0.00,31.90,79.74,162.60,79.74,0.00,0.00,5.71,20.00,20.10,0.00,20.10,27.93,0.00,40.10,0.00,0.00,40.00,30.89,0.00
01-01-2017 10:00:00,0.00,0.00,0.00,0.00,538.26,0.00,160.00,400.00,815.70,400.00,0.00,55.31,138.26,281.93,138.26,0.00,0.00,5.71,20.00,24.36,0.00,24.36,33.84,0.00,44.36,0.00,0.00,40.00,52.95,0.00
01-01-2017 11:00:00,0.00,0.00,0.00,0.00,513.60,0.00,160.00,400.00,815.70,400.00,0.00,45.44,113.60,231.63,113.60,0.00,0.00,5.71,20.00,27.07,0.00,27.07,37.60,0.00,47.07,0.00,0.00,40.00,30.89,0.00
01-01-2017 12:00:00,0.00,0.00,0.00,0.00,510.20,0.00,160.00,400.00,815.70,400.00,0.00,44.08,110.20,224.70,110.20,0.00,0.00,5.71,20.00,25.13,0.00,25.13,34.91,0.00,45.13,0.00,0.00,40.00,35.30,0.00
01-01-2017 13:00:00,0.00,0.00,0.00,0.00,491.97,0.00,160.00,400.00,815.70,400.00,0.00,36.79,91.97,187.53,91.97,0.00,0.00,5.71,20.00,29.39,0.00,29.39,40.83,0.00,49.39,0.00,0.00,40.00,35.30,0.00
01-01-2017 14:00:00,0.00,0.00,0.00,0.00,530.23,0.00,160.00,400.00,815.70,400.00,0.00,52.09,130.23,265.56,130.23,0.00,0.00,5.71,20.00,28.62,0.00,28.62,39.75,0.00,48.62,0.00,0.00,40.00,39.71,0.00
01-01-2017 15:00:00,0.00,0.00,0.00,0.00,533.63,0.00,160.00,400.00,815.70,400.00,0.00,53.45,133.63,272.49,133.63,0.00,0.00,5.71,20.00,30.94,0.00,30.94,42.98,0.00,50.94,0.00,0.00,40.00,35.30,0.00
01-01-2017 16:00:00,0.00,0.00,0.00,0.00,515.41,0.00,160.00,400.00,815.70,400.00,0.00,46.16,115.41,235.32,115.41,0.00,0.00,5.71,20.00,25.91,0.00,25.91,35.99,0.00,45.91,0.00,0.00,40.00,35.30,0.00
01-01-2017 17:00:00,0.00,0.00,0.00,0.00,515.41,0.00,160.00,400.00,815.70,400.00,0.00,46.16,115.41,235.32,115.41,0.00,0.00,5.71,20.00,24.75,0.00,24.75,34.38,0.00,44.75,0.00,0.00,40.00,35.30,0.00
01-01-2017 18:00:00,0.00,0.00,0.00,0.00,513.81,0.00,160.00,400.00,815.70,400.00,0.00,45.53,113.81,232.07,113.81,0.00,0.00,5.71,20.00,12.75,0.00,12.75,17.71,0.00,32.75,0.00,0.00,40.00,44.13,0.00
01-01-2017 19:00:00,0.00,0.00,0.00,0.00,512.01,0.00,160.00,400.00,815.70,400.00,0.00,44.80,112.01,228.39,112.01,0.00,0.00,5.71,20.00,16.23,0.00,16.23,22.55,0.00,36.23,0.00,0.00,40.00,39.71,0.00
01-01-2017 20:00:00,0.00,0.00,0.00,0.00,489.36,0.00,160.00,400.00,815.70,400.00,0.00,35.75,89.36,182.22,89.36,0.00,0.00,5.71,20.00,15.85,0.00,15.85,22.01,0.00,35.85,0.00,0.00,40.00,35.30,0.00
