Date (CEST),HOB_Output_Backup[Dim 1][MW],Wood_CHP_Load_Output_A1[Dim 1][MW],HP_Electricity_Consumption_A2[Dim 1][MW],Waste_CHP_Load_Output_A1[Dim 1][MW],HP_Electricity_Consumption_A1[Dim 1][MW],HOB_Load_Output_A2[Dim 1][MW],Wood_Fuel_Input_A1[Dim 1][MW],Waste_Fuel_Input_A1[Dim 1][MW],Wood_CHP_Electricity_Output_A1[Dim 1][MW],HOB_Fuel_Input_A2[Dim 1][MW],Waste_CHP_Electricity_Output_A1[Dim 1][MW],Area_Exchange[Dim 1][MW],HOB_Fuel_Input_A1[Dim 1][MW],Pellet_CHP_Load_Output_A2[Dim 1][MW],Pellet_CHP_Electricity_Output_A2[Dim 1][MW],HP_Load_Output_A1[Dim 1][MW],Thermal_Output_A2[Dim 1][MW],Pellet_Fuel_Input_A2[Dim 1][MW],HP_Load_Output_A2[Dim 1][MW],Thermal_Output_A1[Dim 1][MW]
01-01-2017 00:00:00,0.0,61.88,7.14,400.0,0.0,0.0,126.17,815.7,24.75,0.0,160.0,40.0,0.0,22.42,13.45,0.0,42.42,46.1,20.0,461.88
01-01-2017 01:00:00,0.0,77.5,7.14,400.0,0.0,0.0,158.03,815.7,31.0,0.0,160.0,40.0,0.0,22.42,13.45,0.0,42.42,46.1,20.0,477.5
01-01-2017 02:00:00,0.0,64.48,7.14,400.0,0.0,0.0,131.48,815.7,25.79,0.0,160.0,40.0,0.0,22.04,13.22,0.0,42.04,45.31,20.0,464.48
01-01-2017 03:00:00,0.0,22.81,7.14,400.0,0.0,0.0,46.52,815.7,9.13,0.0,160.0,40.0,0.0,19.33,11.6,0.0,39.33,39.74,20.0,422.81
01-01-2017 04:00:00,0.0,28.02,7.14,400.0,0.0,0.0,57.14,815.7,11.21,0.0,160.0,40.0,0.0,14.68,8.81,0.0,34.68,30.19,20.0,428.02
01-01-2017 05:00:00,0.0,30.63,7.14,400.0,0.0,0.0,62.45,815.7,12.25,0.0,160.0,40.0,0.0,12.75,7.65,0.0,32.75,26.21,20.0,430.63
01-01-2017 06:00:00,0.0,30.63,7.14,400.0,0.0,0.0,62.45,815.7,12.25,0.0,160.0,40.0,0.0,12.36,7.42,0.0,32.36,25.42,20.0,430.63
01-01-2017 07:00:00,0.0,33.23,7.14,400.0,0.0,0.0,67.76,815.7,13.29,0.0,160.0,40.0,0.0,13.91,8.35,0.0,33.91,28.6,20.0,433.23
01-01-2017 08:00:00,0.0,43.65,7.14,400.0,0.0,0.0,89.0,815.7,17.46,0.0,160.0,40.0,0.0,15.07,9.04,0.0,35.07,30.99,20.0,443.65
01-01-2017 09:00:00,0.0,48.85,7.14,400.0,0.0,0.0,99.62,815.7,19.54,0.0,160.0,40.0,0.0,20.1,12.06,0.0,40.1,41.33,20.0,448.85
01-01-2017 10:00:00,0.0,85.31,7.14,400.0,0.0,0.0,173.96,815.7,34.13,0.0,160.0,40.0,0.0,24.36,14.62,0.0,44.36,50.08,20.0,485.31
01-01-2017 11:00:00,0.0,82.71,7.14,400.0,0.0,0.0,168.65,815.7,33.08,0.0,160.0,40.0,0.0,27.07,16.24,0.0,47.07,55.65,20.0,482.71
01-01-2017 12:00:00,0.0,74.9,7.14,400.0,0.0,0.0,152.72,815.7,29.96,0.0,160.0,40.0,0.0,25.13,15.08,0.0,45.13,51.67,20.0,474.9
01-01-2017 13:00:00,0.0,56.67,7.14,400.0,0.0,0.0,115.55,815.7,22.67,0.0,160.0,40.0,0.0,29.39,17.63,0.0,49.39,60.42,20.0,456.67
01-01-2017 14:00:00,0.0,90.52,7.14,400.0,0.0,0.0,184.58,815.7,36.21,0.0,160.0,40.0,0.0,28.62,17.17,0.0,48.62,58.83,20.0,490.52
