;Retail Price 0;Spot Price 0;Spot Price P25;Retail Price P25;Spot Price M25;Retail Price M25;Waste Price;Wood Price;Bio Pellet Price;Bio Oil Price;DH Price;Demand Area 1;Demand Area 2;Demand Area 3
0;1129,7;250,8;313,4;1208;188,1;1051,3;1;200;1000;1400;672;421,9;82,4;22,1
1;1122,2;244,7;305,9;1198,6;183,5;1045,7;1;200;1000;1400;672;437,5;82,4;22,1
2;1117,5;241;301,3;1192,8;180,8;1042,2;1;200;1000;1400;672;424,5;82,0;17,7
3;1114,2;238,4;298;1188,7;178,8;1039,7;1;200;1000;1400;672;382,8;79,3;17,7
4;1114,4;238,5;298,1;1188,9;178,9;1039,8;1;200;1000;1400;672;388,0;74,7;17,7
5;1118,5;241,8;302,3;1194,1;181,4;1042,9;1;200;1000;1400;672;390,6;72,7;13,2
6;1123,3;245,6;307;1200;184,2;1046,5;1;200;1000;1400;672;390,6;72,4;17,7
7;1129,4;250,6;313,2;1207,7;187,9;1051,1;1;200;1000;1400;672;393,2;73,9;22,1
8;1129,1;250,3;312,8;1207,3;187,7;1050,9;1;200;1000;1400;672;403,6;75,1;26,5
9;1131,2;252;315;1209,9;189;1052,5;1;200;1000;1400;672;408,9;80,1;30,9
10;1138,2;257,6;322;1218,7;193,2;1057,7;1;200;1000;1400;672;445,3;84,4;53
11;1141,9;260,5;325,6;1223,3;195,4;1060,5;1;200;1000;1400;672;442,7;87,1;30,9
12;1144,5;262,6;328,3;1226,6;197;1062,4;1;200;1000;1400;672;434,9;85,1;35,3
13;1150;267;333,8;1233,5;200,3;1066,6;1;200;1000;1400;672;416,7;89,4;35,3
14;1159,2;274,4;343;1245;205,8;1073,5;1;200;1000;1400;672;450,5;88,6;39,7
15;1175,7;287,5;359,4;1265,5;215,7;1085,8;1;200;1000;1400;672;458,3;90,9;35,3
16;1196,3;304;380;1291,3;228;1101,3;1;200;1000;1400;672;440,1;85,9;35,3
17;1195,5;303,4;379,3;1290,3;227,6;1100,7;1;200;1000;1400;672;440,1;84,7;35,3
18;1178,3;289,7;362,1;1268,8;217,2;1087,8;1;200;1000;1400;672;429,7;72,7;44,1
19;1171,2;283,9;354,9;1259,9;212,9;1082,4;1;200;1000;1400;672;432,3;76,2;39,7
20;1159,5;274,6;343,2;1245,3;205,9;1073,7;1;200;1000;1400;672;414,1;75,8;35,3
21;1155,2;271,2;338,9;1239,9;203,4;1070,5;1;200;1000;1400;672;408,9;82,8;26,5
22;1148,4;265,7;332,2;1231,5;199,3;1065,4;1;200;1000;1400;672;406,3;79,3;22,1
23;1138,4;257,7;322,1;1218,9;193,3;1057,8;1;200;1000;1400;672;408,9;81,6;17,7
24;1137,7;257,2;321,5;1218,1;192,9;1057,4;1;200;1000;1400;672;403,6;79,3;17,7
25;1129,2;250,4;312,9;1207,4;187,8;1051;1;200;1000;1400;672;398,4;78,9;17,7
26;1127,1;248,6;310,8;1204,8;186,5;1049,4;1;200;1000;1400;672;403,6;77,4;22,1
27;1126,1;247,8;309,8;1203,5;185,9;1048,6;1;200;1000;1400;672;401,0;77,4;17,7
28;1126,8;248,4;310,6;1204,4;186,3;1049,2;1;200;1000;1400;672;349,0;77,0;17,7
29;1129,3;250,5;313,1;1207,6;187,8;1051;1;200;1000;1400;672;393,2;77,4;13,2
30;1138,1;257,5;321,9;1218,6;193,1;1057,6;1;200;1000;1400;672;447,9;84,7;30,9
31;1145,3;263,2;329;1227,5;197,4;1063;1;200;1000;1400;672;471,4;83,6;39,7
32;1168,3;281,6;352;1256,3;211,2;1080,3;1;200;1000;1400;672;450,5;84,4;48,5
33;1163,6;277,9;347,4;1250,5;208,4;1076,8;1;200;1000;1400;672;440,1;86,7;48,5
34;1178,4;289,8;362,2;1269;217,3;1087,9;1;200;1000;1400;672;458,3;85,9;44,1
35;1190,1;299,1;373,9;1283,6;224,3;1096,6;1;200;1000;1400;672;474,0;89,8;35,3
36;1175,8;287,6;359,6;1265,7;215,7;1085,9;1;200;1000;1400;672;434,9;78,9;39,7
37;1177,1;288,6;360,8;1267,3;216,5;1086,9;1;200;1000;1400;672;408,9;78,6;30,9
38;1179,2;290,4;362,9;1269,9;217,8;1088,5;1;200;1000;1400;672;382,8;79,3;30,9
39;1315,5;399,4;499,2;1440,3;299,5;1190,7;1;200;1000;1400;672;390,6;75,8;35,3
40;1556;591,8;739,7;1740,9;443,8;1371;1;200;1000;1400;672;424,5;79,3;30,9
41;1576,4;608,1;760,2;1766,5;456,1;1386,4;1;200;1000;1400;672;424,5;83,2;35,3
42;1568;601,4;751,8;1755,9;451,1;1380,1;1;200;1000;1400;672;492,2;90,5;53
43;1192,4;300,9;376,1;1286,4;225,7;1098,3;1;200;1000;1400;672;474,0;85,1;44,1
44;1160,2;275,2;344;1246,2;206,4;1074,2;1;200;1000;1400;672;460,9;87,8;44,1
45;1154,9;271;338,7;1239,6;203,2;1070,3;1;200;1000;1400;672;447,9;80,1;30,9
46;1153,6;269,9;337,3;1237,9;202,4;1069,2;1;200;1000;1400;672;419,3;80,5;26,5
47;1142,1;260,7;325,9;1223,6;195,5;1060,7;1;200;1000;1400;672;403,6;79,3;22,1
48;1133,7;254;317,5;1213,1;190,5;1054,3;1;200;1000;1400;672;390,6;73,9;17,7
49;1125,2;247,1;308,9;1202,4;185,3;1047,9;1;200;1000;1400;672;388,0;73,5;17,7
50;1116;239,8;299,8;1190,9;179,9;1041,1;1;200;1000;1400;672;393,2;73,9;13,2
51;1112,4;236,9;296,1;1186,4;177,7;1038,3;1;200;1000;1400;672;393,2;75,5;13,2
52;1111,4;236,1;295,1;1185,1;177,1;1037,6;1;200;1000;1400;672;390,6;76,6;13,2
53;1115,9;239,7;299,6;1190,8;179,8;1041;1;200;1000;1400;672;406,3;77,0;13,2
54;1118,4;241,7;302,1;1193,9;181,3;1042,9;1;200;1000;1400;672;429,7;87,8;26,5
55;1127,8;249,2;311,6;1205,7;186,9;1049,9;1;200;1000;1400;672;455,7;90,5;39,7
56;1129,9;251;313,7;1208,4;188,2;1051,5;1;200;1000;1400;672;460,9;88,6;61,8
57;1138,5;257,8;322,2;1219;193,3;1057,9;1;200;1000;1400;672;463,5;92,1;53
58;1142,9;261,3;326,6;1224,5;196;1061,2;1;200;1000;1400;672;437,5;95,2;61,8
59;1143,8;262;327,5;1225,6;196,5;1061,9;1;200;1000;1400;672;414,1;94,4;35,3
60;1141,3;260;325;1222,5;195;1060;1;200;1000;1400;672;393,2;84,0;35,3
61;1140,8;259,6;324,5;1221,9;194,7;1059,6;1;200;1000;1400;672;380,2;84,7;35,3
62;1143,1;261,5;326,9;1224,9;196,1;1061,4;1;200;1000;1400;672;369,8;81,3;35,3
63;1149,2;266,3;332,9;1232,4;199,7;1065,9;1;200;1000;1400;672;367,2;84,0;48,5
64;1168,6;281,9;352,4;1256,7;211,4;1080,5;1;200;1000;1400;672;367,2;81,3;48,5
65;1174,7;286,7;358,4;1264,3;215;1085,1;1;200;1000;1400;672;455,7;89,8;30,9
66;1170,1;283,1;353,9;1258,6;212,3;1081,7;1;200;1000;1400;672;539,1;83,2;48,5
67;1167;280,6;350,8;1254,7;210,5;1079,3;1;200;1000;1400;672;502,6;81,3;35,3
68;1162,5;277;346,2;1249;207,7;1075,9;1;200;1000;1400;672;453,1;86,3;39,7
69;1156;271,8;339,7;1240,9;203,8;1071;1;200;1000;1400;672;432,3;89,4;35,3
70;1145,1;263,1;328,9;1227,4;197,3;1062,9;1;200;1000;1400;672;419,3;85,5;30,9
71;1129,3;250,5;313,1;1207,6;187,8;1051;1;200;1000;1400;672;401,0;80,9;22,1
72;1126,1;247,8;309,8;1203,5;185,9;1048,6;1;200;1000;1400;672;408,9;75,5;17,7
73;1118,4;241,7;302,1;1193,9;181,3;1042,9;1;200;1000;1400;672;406,3;73,1;13,2
74;1116,3;240;300;1191,3;180;1041,3;1;200;1000;1400;672;398,4;73,1;17,7
75;1118,1;241,5;301,9;1193,6;181,1;1042,7;1;200;1000;1400;672;398,4;72,7;13,2
76;1125;247;308,8;1202,2;185,3;1047,8;1;200;1000;1400;672;395,8;78,6;17,7
77;1140,9;259,7;324,6;1222;194,8;1059,7;1;200;1000;1400;672;408,9;72,4;13,2
78;1170,7;283,5;354,4;1259,3;212,6;1082,1;1;200;1000;1400;672;432,3;87,5;26,5
79;1203,8;310,1;387,6;1300,7;232,5;1106,9;1;200;1000;1400;672;476,6;90,2;44,1
80;1434,3;494,5;618,1;1588,9;370,9;1279,8;1;200;1000;1400;672;453,1;82,4;53
81;1444,6;502,7;628,4;1601,7;377;1287,5;1;200;1000;1400;672;458,3;86,3;61,8
82;1512,2;556,8;696;1686,2;417,6;1338,2;1;200;1000;1400;672;463,5;85,5;48,5
83;1526,4;568,1;710,2;1704;426,1;1348,9;1;200;1000;1400;672;447,9;85,9;35,3
84;1470,4;523,3;654,1;1633,9;392,5;1306,9;1;200;1000;1400;672;450,5;83,6;48,5
85;1526,4;568,1;710,2;1704;426,1;1348,9;1;200;1000;1400;672;455,7;87,8;39,7
86;1544,8;582,8;728,5;1726,9;437,1;1362,6;1;200;1000;1400;672;453,1;86,3;30,9
87;1545,3;583,2;729;1727,5;437,4;1363;1;200;1000;1400;672;450,5;82,0;39,7
88;1576,3;608;760,1;1766,3;456;1386,3;1;200;1000;1400;672;476,6;80,5;39,7
89;1635,6;655,5;819,3;1840,4;491,6;1430,8;1;200;1000;1400;672;460,9;86,7;39,7
90;1570,6;603,5;754,4;1759,2;452,6;1382;1;200;1000;1400;672;466,1;95,2;44,1
91;1491,3;540;675;1660;405;1322,5;1;200;1000;1400;672;460,9;85,5;48,5
92;1289,6;378,7;473,4;1408;284;1171,3;1;200;1000;1400;672;442,7;89,0;48,5
93;1253,7;350;437,4;1363;262,5;1144,3;1;200;1000;1400;672;463,5;89,8;44,1
94;1205,1;311,1;388,8;1302,3;233,3;1107,9;1;200;1000;1400;672;429,7;90,5;30,9
95;1159,8;274,9;343,6;1245,7;206,2;1073,9;1;200;1000;1400;672;429,7;85,1;17,7
96;1165,9;279,7;349,6;1253,3;209,8;1078,5;1;200;1000;1400;672;411,5;80,1;17,7
97;1161,3;276,1;345,1;1247,6;207;1075,1;1;200;1000;1400;672;401,0;76,2;17,7
98;1156,7;272,3;340,4;1241,8;204,3;1071,6;1;200;1000;1400;672;398,4;74,7;13,2
99;1157,4;273;341,2;1242,7;204,7;1072,1;1;200;1000;1400;672;395,8;75,1;13,2
100;1165,6;279,5;349,4;1252,9;209,6;1078,3;1;200;1000;1400;672;395,8;76,2;13,2
101;1191;299,8;374,8;1284,7;224,9;1097,3;1;200;1000;1400;672;395,8;75,5;17,7
102;1266,1;359,8;449,8;1378,5;269,9;1153,6;1;200;1000;1400;672;408,9;82,0;30,9
103;1490,6;539,5;674,3;1659,2;404,6;1322;1;200;1000;1400;672;466,1;82,0;35,3
104;1570,5;603,4;754,3;1759,1;452,6;1382;1;200;1000;1400;672;427,1;85,9;35,3
105;1572;604,6;755,8;1761;453,5;1383,1;1;200;1000;1400;672;471,4;87,5;53
106;1585,4;615,3;769,1;1777,6;461,5;1393,1;1;200;1000;1400;672;479,2;90,9;53
107;1601,5;628,2;785,2;1797,8;471,1;1405,2;1;200;1000;1400;672;544,3;90,9;39,7
108;1589,1;618,3;772,9;1782,3;463,7;1395,9;1;200;1000;1400;672;479,2;94,0;44,1
109;1599,3;626,5;783,1;1795,1;469,8;1403,5;1;200;1000;1400;672;445,3;92,5;39,7
110;1596,2;623,9;779,9;1791,2;468;1401,2;1;200;1000;1400;672;429,7;88,2;53
111;1602,1;628,7;785,8;1798,5;471,5;1405,6;1;200;1000;1400;672;458,3;97,1;57,4
112;1624,1;646,3;807,8;1826;484,7;1422,1;1;200;1000;1400;672;492,2;96,7;57,4
113;1640,9;659,7;824,7;1847,1;494,8;1434,8;1;200;1000;1400;672;559,9;96,4;75
114;1572,2;604,7;755,9;1761,1;453,5;1383,2;1;200;1000;1400;672;531,3;97,5;57,4
115;1503,4;549,7;687,2;1675,2;412,3;1331,6;1;200;1000;1400;672;528,6;99,8;57,4
116;1328,9;410,1;512,7;1457,1;307,6;1200,7;1;200;1000;1400;672;492,2;94,0;70,6
117;1314,1;398,3;497,8;1438,5;298,7;1189,6;1;200;1000;1400;672;471,4;97,5;57,4
118;1219,3;322,4;403;1320;241,8;1118,5;1;200;1000;1400;672;487,0;104,9;48,5
119;1183,5;293,8;367,2;1275,3;220,3;1091,7;1;200;1000;1400;672;492,2;94,8;30,9
120;1191,6;300,3;375,4;1285,5;225,2;1097,8;1;200;1000;1400;672;476,6;94,0;39,7
121;1177,7;289,1;361,4;1268;216,8;1087,3;1;200;1000;1400;672;500,0;89,4;30,9
122;1170;283;353,7;1258,4;212,2;1081,6;1;200;1000;1400;672;437,5;94,4;35,3
123;1168,4;281,7;352,1;1256,4;211,3;1080,3;1;200;1000;1400;672;455,7;99,1;35,3
124;1170,6;283,5;354,4;1259,2;212,6;1082;1;200;1000;1400;672;487,0;100,2;44,1
125;1181,2;292;364,9;1272,4;219;1090;1;200;1000;1400;672;487,0;101,4;44,1
126;1202,8;309,3;386,6;1299,5;232;1106,2;1;200;1000;1400;672;502,6;101,4;53
127;1263,5;357,8;447,2;1375,3;268,3;1151,7;1;200;1000;1400;672;487,0;102,2;75
128;1309,3;394,4;493,1;1432,6;295,8;1186;1;200;1000;1400;672;507,8;108,0;101,5
129;1343,3;421,6;527;1475;316,2;1211,5;1;200;1000;1400;672;546,9;111,4;110,3
130;1396;463,8;579,8;1540,9;347,9;1251,1;1;200;1000;1400;672;697,1;116,9;119,1
131;1385,9;455,8;569,7;1528,4;341,8;1243,5;1;200;1000;1400;672;656,5;117,6;110,3
132;1397,8;465,2;581,5;1543,1;348,9;1252,4;1;200;1000;1400;672;622,1;115,3;110,3
133;1412,1;476,7;595,9;1561,1;357,5;1263,1;1;200;1000;1400;672;567,7;114,2;119,1
134;1461,9;516,6;645,7;1623,4;387,4;1300,5;1;200;1000;1400;672;546,9;109,5;105,9
135;1507,1;552,7;690,9;1679,8;414,5;1334,4;1;200;1000;1400;672;552,1;110,7;101,5
136;1551,2;587,9;734,9;1734,9;440,9;1367,4;1;200;1000;1400;672;559,9;112,6;97,1
137;1570,4;603,3;754,2;1759;452,5;1381,9;1;200;1000;1400;672;619,0;115,7;105,9
138;1516,8;560,5;700,6;1692;420,3;1341,7;1;200;1000;1400;672;567,7;117,3;119,1
139;1448,6;505,9;632,4;1606,7;379,4;1290,5;1;200;1000;1400;672;578,1;118,8;114,7
140;1317,6;401,1;501,4;1442,9;300,8;1192,3;1;200;1000;1400;672;619,0;115,7;105,9
141;1318,7;402;502,5;1444,4;301,5;1193,1;1;200;1000;1400;672;567,7;114,9;97,1
142;1303,3;389,6;487;1425;292,2;1181,5;1;200;1000;1400;672;578,1;113,0;97,1
143;1225,2;327,2;409;1327,5;245,4;1123;1;200;1000;1400;672;554,7;113,4;75
144;1358,1;433,4;541,8;1493,5;325,1;1222,6;1;200;1000;1400;672;544,3;110,7;66,2
145;1330,6;411,5;514,4;1459,2;308,6;1202;1;200;1000;1400;672;513,0;110,3;57,4
146;1309,1;394,3;492,9;1432,3;295,7;1185,9;1;200;1000;1400;672;533,9;109,1;61,8
147;1316,5;400,2;500,3;1441,6;300,2;1191,5;1;200;1000;1400;672;531,3;109,9;61,8
148;1335,4;415,3;519,2;1465,2;311,5;1205,6;1;200;1000;1400;672;544,3;111,1;61,8
149;1389;458,2;572,7;1532,2;343,6;1245,8;1;200;1000;1400;672;552,1;109,1;61,8
150;1520,2;563,1;703,9;1696,1;422,3;1344,2;1;200;1000;1400;672;554,7;109,9;66,2
151;1668,9;682,2;852,7;1882,1;511,6;1455,8;1;200;1000;1400;672;533,9;109,9;92,7
152;1878,1;849,5;1061,8;2143,5;637,1;1612,6;1;200;1000;1400;672;562,5;111,8;110,3
153;1870,9;843,7;1054,7;2134,6;632,8;1607,2;1;200;1000;1400;672;593,8;115,3;132,4
154;1853,1;829,5;1036,8;2112,3;622,1;1593,9;1;200;1000;1400;672;565,1;118,8;141,2
155;1897,7;865,2;1081,5;2168,1;648,9;1627,3;1;200;1000;1400;672;625,8;117,3;119,1
156;1881,6;852,3;1065,4;2147,9;639,2;1615,3;1;200;1000;1400;672;554,7;115,3;97,1
157;1851,2;827,9;1034,9;2109,9;621;1592,4;1;200;1000;1400;672;557,3;114,2;105,9
158;1805;791;988,8;2052,2;593,3;1557,8;1;200;1000;1400;672;546,9;109,5;92,7
159;1842,1;820,7;1025,9;2098,6;615,5;1585,6;1;200;1000;1400;672;536,5;108,7;97,1
160;1944,1;902,3;1127,9;2226,1;676,7;1662,1;1;200;1000;1400;672;580,7;108,7;97,1
161;2072,8;1005,2;1256,5;2386,9;753,9;1758,6;1;200;1000;1400;672;518,2;111,1;92,7
162;1880,5;851,4;1064,2;2146,5;638,5;1614,4;1;200;1000;1400;672;552,1;114,9;92,7
163;1794,6;782,7;978,3;2039,2;587;1550;1;200;1000;1400;672;515,6;108,7;88,3
164;1636,2;656;820;1841,2;492;1431,2;1;200;1000;1400;672;523,4;103,3;70,6
165;1562,4;596,9;746,2;1749;447,7;1375,9;1;200;1000;1400;672;492,2;103,7;61,8
166;1549;586,2;732,7;1732,1;439,6;1365,8;1;200;1000;1400;672;526,0;104,5;61,8
167;1457,5;513;641,3;1617,8;384,8;1297,2;1;200;1000;1400;672;481,8;98,7;57,4
168;1437,1;496,7;620,8;1592,3;372,5;1281,9;1;200;1000;1400;672;476,6;94,8;48,5
169;1412,8;477,2;596,6;1561,9;357,9;1263,7;1;200;1000;1400;672;484,4;94,4;35,3
170;1392,7;461,1;576,4;1536,8;345,8;1248,6;1;200;1000;1400;672;479,2;93,6;35,3
171;1376,7;448,3;560,4;1516,8;336,2;1236,6;1;200;1000;1400;672;476,6;93,3;30,9
172;1391,5;460,2;575,3;1535,3;345,2;1247,7;1;200;1000;1400;672;471,4;97,9;39,7
173;1449,9;507;633,7;1608,4;380,2;1291,5;1;200;1000;1400;672;513,0;101,4;39,7
174;1568;601,4;751,8;1756;451,1;1380,1;1;200;1000;1400;672;580,7;108,0;75
175;1818;801,4;1001,7;2068,4;601;1567,5;1;200;1000;1400;672;665,5;113,8;101,5
176;2119,9;1042,9;1303,6;2445,8;782,2;1794;1;200;1000;1400;672;554,7;112,2;92,7
177;2173,5;1085,8;1357,3;2512,8;814,4;1834,2;1;200;1000;1400;672;518,2;114,2;105,9
178;2167,5;1081;1351,2;2505,3;810,7;1829,7;1;200;1000;1400;672;552,1;107,2;88,3
179;2129;1050,2;1312,7;2457,1;787,6;1800,8;1;200;1000;1400;672;487,0;103,3;66,2
180;2074,2;1006,3;1257,9;2388,7;754,8;1759,7;1;200;1000;1400;672;533,9;97,9;75
181;2015,8;959,6;1199,5;2315,6;719,7;1715,9;1;200;1000;1400;672;502,6;94,4;48,5
182;1983,7;933,9;1167,4;2275,5;700,4;1691,8;1;200;1000;1400;672;487,0;95,6;61,8
183;2017,7;961,1;1201,4;2318;720,8;1717,3;1;200;1000;1400;672;502,6;100,6;57,4
184;2012,4;956,9;1196,1;2311,4;717,7;1713,3;1;200;1000;1400;672;481,8;106,8;66,2
185;2201,2;1108;1385;2547,5;831;1855;1;200;1000;1400;672;518,2;109,9;70,6
186;2074,7;1006,8;1258,4;2389,3;755,1;1760,1;1;200;1000;1400;672;531,3;108,4;79,4
187;1825;807;1008,8;2077,2;605,3;1572,8;1;200;1000;1400;672;559,9;111,8;92,7
188;1590,3;619,3;774,1;1783,8;464,4;1396,8;1;200;1000;1400;672;544,3;111,1;83,8
189;1564,5;598,6;748,3;1751,6;449;1377,4;1;200;1000;1400;672;502,6;110,7;70,6
190;1524,1;566,3;707,9;1701,1;424,7;1347,1;1;200;1000;1400;672;507,8;104,9;61,8
191;1451,8;508,5;635,6;1610,7;381,3;1292,9;1;200;1000;1400;672;484,4;102,5;48,5
192;1414,5;478,6;598,2;1564;358,9;1264,9;1;200;1000;1400;672;474,0;96,7;35,3
193;1407,7;473,1;591,4;1555,5;354,8;1259,8;1;200;1000;1400;672;434,9;93,6;22,1
194;1400,6;467,5;584,4;1546,7;350,6;1254,5;1;200;1000;1400;672;437,5;91,7;22,1
195;1415,6;479,5;599,3;1565,4;359,6;1265,7;1;200;1000;1400;672;429,7;93,3;17,7
196;1420,2;483,2;604;1571,2;362,4;1269,2;1;200;1000;1400;672;458,3;94,8;26,5
197;1416,8;480,5;600,6;1567;360,4;1266,7;1;200;1000;1400;672;492,2;96,0;26,5
198;1423;485,4;606,8;1574,7;364,1;1271,3;1;200;1000;1400;672;544,3;107,2;70,6
199;1472;524,6;655,8;1636;393,5;1308,1;1;200;1000;1400;672;523,4;111,1;97,1
200;1546,8;584,5;730,6;1729,5;438,4;1364,2;1;200;1000;1400;672;549,5;107,2;92,7
201;1629,4;650,6;813,2;1832,7;487,9;1426,1;1;200;1000;1400;672;502,6;105,6;75
202;1641,1;659,9;824,9;1847,4;494,9;1434,9;1;200;1000;1400;672;500,0;104,1;70,6
203;1644,7;662,7;828,4;1851,8;497;1437,6;1;200;1000;1400;672;505,2;102,2;61,8
204;1633,1;653,5;816,8;1837,3;490,1;1428,9;1;200;1000;1400;672;484,4;103,3;70,6
205;1577,5;609;761,3;1767,8;456,8;1387,2;1;200;1000;1400;672;492,2;96,0;66,2
206;1547,2;584,8;731;1730;438,6;1364,5;1;200;1000;1400;672;484,4;94,4;70,6
207;1570,6;603,5;754,4;1759,2;452,6;1382;1;200;1000;1400;672;471,4;102,2;70,6
208;1605,6;631,4;789,3;1802,9;473,6;1408,2;1;200;1000;1400;672;510,4;105,3;79,4
209;1536,4;576,1;720,2;1716,4;432,1;1356,4;1;200;1000;1400;672;505,2;109,9;79,4
210;1417,1;480,7;600,8;1567,3;360,5;1266,9;1;200;1000;1400;672;546,9;113,0;92,7
211;1329,2;410,4;513;1457,5;307,8;1201;1;200;1000;1400;672;544,3;114,5;88,3
212;1318,8;402;502,5;1444,4;301,5;1193,1;1;200;1000;1400;672;528,6;114,9;105,9
