;Retail Price
0;1129,7
1;1122,2
2;1117,5
3;1114,2
4;1114,4
5;1118,5
6;1123,3
7;1129,4
8;1129,1
9;1131,2
10;1138,2
11;1141,9
12;1144,5
13;1150
14;1159,2
15;1175,7
16;1196,3
17;1195,5
18;1178,3
19;1171,2
20;1159,5
21;1155,2
22;1148,4
23;1138,4
24;1137,7
25;1129,2
26;1127,1
27;1126,1
28;1126,8
29;1129,3
30;1138,1
31;1145,3
32;1168,3
33;1163,6
34;1178,4
35;1190,1
36;1175,8
37;1177,1
38;1179,2
39;1315,5
40;1556
41;1576,4
42;1568
43;1192,4
44;1160,2
45;1154,9
46;1153,6
47;1142,1
48;1133,7
49;1125,2
50;1116
51;1112,4
52;1111,4
53;1115,9
54;1118,4
55;1127,8
56;1129,9
57;1138,5
58;1142,9
59;1143,8
60;1141,3
61;1140,8
62;1143,1
63;1149,2
64;1168,6
65;1174,7
66;1170,1
67;1167
68;1162,5
69;1156
70;1145,1
71;1129,3
72;1126,1
73;1118,4
74;1116,3
75;1118,1
76;1125
77;1140,9
78;1170,7
79;1203,8
80;1434,3
81;1444,6
82;1512,2
83;1526,4
84;1470,4
85;1526,4
86;1544,8
87;1545,3
88;1576,3
89;1635,6
90;1570,6
91;1491,3
92;1289,6
93;1253,7
94;1205,1
95;1159,8
96;1165,9
97;1161,3
98;1156,7
99;1157,4
100;1165,6
101;1191
102;1266,1
103;1490,6
104;1570,5
105;1572
106;1585,4
107;1601,5
108;1589,1
109;1599,3
110;1596,2
111;1602,1
112;1624,1
113;1640,9
114;1572,2
115;1503,4
116;1328,9
117;1314,1
118;1219,3
119;1183,5
120;1191,6
121;1177,7
122;1170
123;1168,4
124;1170,6
125;1181,2
126;1202,8
127;1263,5
128;1309,3
129;1343,3
130;1396
131;1385,9
132;1397,8
133;1412,1
134;1461,9
135;1507,1
136;1551,2
137;1570,4
138;1516,8
139;1448,6
140;1317,6
141;1318,7
142;1303,3
143;1225,2
144;1358,1
145;1330,6
146;1309,1
147;1316,5
148;1335,4
149;1389
150;1520,2
151;1668,9
152;1878,1
153;1870,9
154;1853,1
155;1897,7
156;1881,6
157;1851,2
158;1805
159;1842,1
160;1944,1
161;2072,8
162;1880,5
163;1794,6
164;1636,2
165;1562,4
166;1549
167;1457,5
168;1437,1
169;1412,8
170;1392,7
171;1376,7
172;1391,5
173;1449,9
174;1568
175;1818
176;2119,9
177;2173,5
178;2167,5
179;2129
180;2074,2
181;2015,8
182;1983,7
183;2017,7
184;2012,4
185;2201,2
186;2074,7
187;1825
188;1590,3
189;1564,5
190;1524,1
191;1451,8
192;1414,5
193;1407,7
194;1400,6
195;1415,6
196;1420,2
197;1416,8
198;1423
199;1472
200;1546,8
201;1629,4
202;1641,1
203;1644,7
204;1633,1
205;1577,5
206;1547,2
207;1570,6
208;1605,6
209;1536,4
210;1417,1
211;1329,2
212;1318,8
213;1328,7
214;1315,9
215;1276,9
216;1305,5
217;1269,3
218;1248,9
219;1242,9
220;1242,5
221;1247,2
222;1244,9
223;1290
224;1308,6
225;1329,7
226;1372,5
227;1387,4
228;1380
229;1374,8
230;1388,7
231;1404,1
232;1455,1
233;1508,4
234;1488,1
235;1438,4
236;1401,1
237;1376,6
238;1321
239;1268,2
240;1327,6
241;1314,9
242;1292,1
243;1262,5
244;1286
245;1337,9
246;1355,1
247;1442,9
248;1463,9
249;1441,3
250;1415,4
251;1378,5
252;1362
253;1353
254;1345,9
255;1349,2
256;1361,4
257;1352,1
258;1345,7
259;1316,4
260;1283,7
261;1247,5
262;1234,6
263;1161,3
264;1060,6
265;1015,2
266;1055,2
267;1119,8
268;1155,8
269;1256,8
270;1239,4
271;1238,2
272;1241,8
273;1240,4
274;1244,3
275;1247,7
276;1252,1
277;1255
278;1258,3
279;1258,2
280;1258,3
281;1258
282;1259,2
283;1261,7
284;1260,6
285;1259,3
286;1256,5
287;1251,6
288;1232,2
289;1224,7
290;1213,9
291;1204,6
292;1215,2
293;1279,8
294;1274,1
295;1278,8
296;1372
297;1347,3
298;1384
299;1368,1
300;1335,3
301;1320,5
302;1313,3
303;1334,7
304;1394,4
305;1515
306;1502,7
307;1422
308;1409,9
309;1331,1
310;1320,2
311;1295,2
312;1288,9
313;1283,9
314;1284,8
315;1316
316;1350,4
317;1390,7
318;1512,9
319;1846,9
320;1969,3
321;1947,4
322;1951,9
323;1969,9
324;1942,8
325;1947
326;1906,4
327;1971,9
328;2082,6
329;2123,1
330;1986,8
331;1927,5
332;1761,2
333;1559,6
334;1414,7
335;1351
336;1393,5
337;1395,3
338;1392,6
339;1389,4
340;1391
341;1389,7
342;1338
343;1388,7
344;1391,3
345;1390,1
346;1387,8
347;1386,8
348;1352,8
349;1349,4
350;1346,6
351;1346,5
352;1342,5
353;1338,9
354;1335,3
355;1323,8
356;1320,3
357;1318,9
358;1320,8
359;1318,5
360;1311,9
361;1315,7
362;1316,6
363;1317,9
364;1319,5
365;1318,1
366;1311,8
367;1310,4
368;1317
369;1319,6
370;1333,6
371;1343,4
372;1360,6
373;1364,8
374;1368,9
375;1375,6
376;1379,5
377;1379,9
378;1378,2
379;1375,4
380;1370,9
381;1367,9
382;1370,8
383;1363,8
384;1406,1
385;1384,9
386;1387,1
387;1387
388;1379,4
389;1378,7
390;1376,4
391;1370
392;1369,7
393;1368,2
394;1369,3
395;1368,8
396;1368,4
397;1370,2
398;1376,6
399;1378,5
400;1399,8
401;1420,1
402;1392,3
403;1386,5
404;1380,5
405;1385,3
406;1419,1
407;1386,3
408;1372,6
409;1379,2
410;1376,2
411;1380,5
412;1385,1
413;1405,2
414;1415,8
415;1481,6
416;1637,7
417;1591,1
418;1576,3
419;1553,2
420;1528,3
421;1463,6
422;1485,9
423;1529,1
424;1508,3
425;1537,1
426;1471,3
427;1468,7
428;1412,2
429;1395,2
430;1361,2
431;1296,2
432;1282,7
433;1272,4
434;1257,2
435;1272,7
436;1282,1
437;1300,3
438;1344,1
439;1408,7
440;1533,4
441;1508
442;1485,5
443;1508
444;1478,9
445;1477,7
446;1481
447;1467,9
448;1403,5
449;1396,9
450;1392,2
451;1387,9
452;1341,9
453;1320,8
454;1281,6
455;1212,6
456;1199,1
457;1174,7
458;1160,5
459;1154,2
460;1180,4
461;1219
462;1266,9
463;1308,8
464;1336,1
465;1307,3
466;1296
467;1295,3
468;1294,9
469;1281,3
470;1280,8
471;1287,5
472;1282,3
473;1275,1
474;1275,6
475;1265,2
476;1264,7
477;1222,6
478;1188,5
479;1135,6
480;1131,4
481;1088,8
482;1080,7
483;1069,5
484;1089,1
485;1128
486;1164,7
487;1192,2
488;1191
489;1193,3
490;1190,9
491;1190,2
492;1186,9
493;1186,3
494;1183,9
495;1179,4
496;1178,2
497;1171,4
498;1174,2
499;1174,4
500;1173,7
501;1177,1
502;1164,2
503;1121,8
504;973,4
505;992
506;956,1
507;965,2
508;1062,1
509;1156,2
510;1166,9
511;1168,7
512;1169,4
513;1172,2
514;1176,1
515;1182,4
516;1182,7
517;1186,3
518;1189,4
519;1189,5
520;1186,2
521;1178
522;1170,2
523;1171,8
524;1169,3
525;1167,5
526;1154,1
527;1136,9
528;1142,3
529;1131,2
530;1130,8
531;1144,3
532;1159,3
533;1199,3
534;1205,6
535;1242,9
536;1264
537;1272,8
538;1275,3
539;1267,4
540;1270,3
541;1258,1
542;1246,6
543;1257,7
544;1269,8
545;1270,9
546;1251,1
547;1265,5
548;1274,1
549;1276,1
550;1287,7
551;1276,3
552;1292,6
553;1293,1
554;1292
555;1292,7
556;1295,7
557;1303,5
558;1311,2
559;1327,7
560;1376,6
561;1432,5
562;1463,3
563;1499,8
564;1468,6
565;1394,7
566;1374
567;1394
568;1470,3
569;1595,8
570;1633,8
571;1607,5
572;1562,1
573;1506,8
574;1469,1
575;1370,4
576;1388,6
577;1341,5
578;1334,7
579;1326,4
580;1336,5
581;1390,6
582;1595,5
583;1696,7
584;1767,4
585;1818,4
586;1759
587;1534,2
588;1684,4
589;1659
590;1527,5
591;1420
592;1356
593;1329,4
594;1302,8
595;1285,4
596;1279,1
597;1279
598;1291,8
599;1278,3
600;1352
601;1348,7
602;1347,2
603;1341,9
604;1370,8
605;1442,9
606;1303,4
607;1382,8
608;1414,2
609;1718,8
610;1746,2
611;1421,1
612;1433,4
613;1565,8
614;1474,7
615;1445,1
616;1437,4
617;1438,1
618;1429,8
619;1419,2
620;1433
621;1418,7
622;1458,6
623;1382,8
624;1392,1
625;1371,2
626;1353,2
627;1340,2
628;1348
629;1383,3
630;1439,2
631;1444,1
632;1657,8
633;1649,4
634;1641,2
635;1647,1
636;1645,1
637;1642,1
638;1645,9
639;1649,9
640;1488,7
